id,Раздел,Слово
1,№8 (гласные в корне),разгОреться
2,№8 (гласные в корне),оштрАфовать
3,№8 (гласные в корне),прилАгать
4,№8 (гласные в корне),прикОснуться
5,№8 (гласные в корне),кАлАмбур
6,№8 (гласные в корне),тЕоретик
7,№8 (гласные в корне),заблИставший
8,№8 (гласные в корне),избИрательный
9,№8 (гласные в корне),перИодически
10,№8 (гласные в корне),предполАгать
11,№8 (гласные в корне),теОретик
12,№8 (гласные в корне),периОдически
13,№8 (гласные в корне),резИденция
14,№8 (гласные в корне),аннОтация
15,№8 (гласные в корне),заблИстал
16,№8 (гласные в корне),рАстение
17,№8 (гласные в корне),скрИпучий
18,№8 (гласные в корне),рЕзиденция
19,№8 (гласные в корне),покОряющий
20,№8 (гласные в корне),дИлетант
21,№8 (гласные в корне),зАря
22,№8 (гласные в корне),загОрелый
23,№8 (гласные в корне),кАсаться
24,№8 (гласные в корне),дилЕтант
25,№8 (гласные в корне),бАгаж
26,№8 (гласные в корне),офОрмлять
27,№8 (гласные в корне),озАрило
28,№8 (гласные в корне),водорОсли
29,№8 (гласные в корне),запИраются
30,№8 (гласные в корне),обжИгаться
31,№8 (гласные в корне),прослАвлять
32,№8 (гласные в корне),окОлдовать
33,№8 (гласные в корне),крЕстьянин
34,№8 (гласные в корне),пригОревшая
35,№8 (гласные в корне),затЕмнённый
36,№8 (гласные в корне),блЕстеть
37,№8 (гласные в корне),вытИраться
38,№8 (гласные в корне),рЕшение
39,№8 (гласные в корне),кОмпетентность
40,№8 (гласные в корне),компЕтентность
41,№8 (гласные в корне),зЕмлетрясение
42,№8 (гласные в корне),прИоритет
43,№8 (гласные в корне),озАряться
44,№8 (гласные в корне),землетрЯсение
45,№8 (гласные в корне),приОритет
46,№8 (гласные в корне),расстИлается
47,№8 (гласные в корне),выскОчка
48,№8 (гласные в корне),разрОслась
49,№8 (гласные в корне),сувЕренитет
50,№8 (гласные в корне),полЕмист
51,№8 (гласные в корне),загОрелась
52,№8 (гласные в корне),располАгаться
53,№8 (гласные в корне),суверЕнитет
54,№8 (гласные в корне),пОлемист
55,№8 (гласные в корне),порОсль
56,№8 (гласные в корне),кОнфорка
57,№8 (гласные в корне),несгОраемый
58,№8 (гласные в корне),стОрожить
59,№8 (гласные в корне),обжИгающий
60,№8 (гласные в корне),сторОжить
61,№8 (гласные в корне),сЕрдитый
62,№8 (гласные в корне),прикАсаться
63,№8 (гласные в корне),выбИрать
64,№8 (гласные в корне),загОрелый
65,№8 (гласные в корне),экспОнат
66,№8 (гласные в корне),обознАчавший
67,№8 (гласные в корне),подгОрело
68,№8 (гласные в корне),вытИравший
69,№8 (гласные в корне),забИрать
70,№8 (гласные в корне),элЕмент
71,№8 (гласные в корне),альмАнах
72,№8 (гласные в корне),соприкОснувшись
73,№8 (гласные в корне),располАгаться
74,№8 (гласные в корне),обогАщение
75,№8 (гласные в корне),дИректива
76,№8 (гласные в корне),Альманах
77,№8 (гласные в корне),издАлека
78,№8 (гласные в корне),выбИрать
79,№8 (гласные в корне),кАвычки
80,№8 (гласные в корне),кОснуться
81,№8 (гласные в корне),орИгинальный
82,№8 (гласные в корне),оригИнальный
83,№8 (гласные в корне),рАстительность
84,№8 (гласные в корне),рЕгламент
85,№8 (гласные в корне),щЕбетать
86,№8 (гласные в корне),забИраясь
87,№8 (гласные в корне),водорОсли
88,№8 (гласные в корне),винЕгрет
89,№8 (гласные в корне),создАвать
90,№8 (гласные в корне),вИнегрет
91,№8 (гласные в корне),замЕреть от восторга
92,№8 (гласные в корне),семИнар
93,№8 (гласные в корне),теАтральный
94,№8 (гласные в корне),прилАгаться
95,№8 (гласные в корне),тЕатральный
96,№8 (гласные в корне),сЕминар
97,№8 (гласные в корне),экзАменатор
98,№8 (гласные в корне),экзамЕнатор
99,№8 (гласные в корне),авАнгард
100,№8 (гласные в корне),фИлармония
101,№8 (гласные в корне),утрАмбовать
102,№8 (гласные в корне),филАрмония
103,№8 (гласные в корне),напомИнание
104,№8 (гласные в корне),кАрьерист
105,№8 (гласные в корне),предполАгать
106,№9 (приставки слов),прИуныть (e/и)
107,№9 (приставки слов),прЕграда (e/и)
108,№9 (приставки слов),прИкрепил (e/и)
109,№9 (приставки слов),прЕумный (e/и)
110,№9 (приставки слов),обеЗболить (з/с)
111,№9 (приставки слов),воЗдать (з/с)
112,№9 (приставки слов),оТдать (д/т)
113,№9 (приставки слов),наДстроить (д/т)
114,№9 (приставки слов),разОбрать (а/о)
115,№9 (приставки слов),нАдорвал (а/о)
116,№9 (приставки слов),иСходящий (з/с)
117,№9 (приставки слов),оТдал (д/т)
118,№9 (приставки слов),раЗбил (з/с)
119,№9 (приставки слов),прЕстарелый (e/и)
120,№9 (приставки слов),прИник (e/и)
121,№9 (приставки слов),позАвчера (а/о)
122,№9 (приставки слов),пОчитать (а/о)
123,№9 (приставки слов),прИкоснулся (e/и)
124,№9 (приставки слов),прИзыв (e/и)
125,№9 (приставки слов),наДписать (д/т)
126,№9 (приставки слов),оТбросить (д/т)
127,№9 (приставки слов),поДтягивать (д/т)
128,№9 (приставки слов),прЕмудрый (e/и)
129,№9 (приставки слов),прИбой (e/и)
130,№9 (приставки слов),пОжалеть (а/о)
131,№9 (приставки слов),нАдломить (а/о)
132,№9 (приставки слов),иСточить (з/с)
133,№9 (приставки слов),беСценный (з/с)
134,№9 (приставки слов),прЕвозмочь (e/и)
135,№9 (приставки слов),прИшёл (e/и)
136,№9 (приставки слов),прИшелец (e/и)
137,№9 (приставки слов),прЕуспел (e/и)
138,№9 (приставки слов),беСпечный (з/с)
139,№9 (приставки слов),иЗдать (з/с)
140,№9 (приставки слов),прЕследую (e/и)
141,№9 (приставки слов),прИпасы (e/и)
142,№9 (приставки слов),оТданный (д/т)
143,№9 (приставки слов),наДпись (д/т)
144,№9 (приставки слов),подОшёл (а/о)
145,№9 (приставки слов),сОвучие (а/о)
146,№9 (приставки слов),раЗжать (з/с)
147,№9 (приставки слов),ниСпадать (з/с)
148,№9 (приставки слов),поДсказать (д/т)
149,№9 (приставки слов),оТбор (д/т)
150,№9 (приставки слов),прИручил (e/и)
151,№9 (приставки слов),прЕнебрёг (e/и)
152,№9 (приставки слов),сОгласие (а/о)
153,№9 (приставки слов),позАвчера (а/о)
154,№9 (приставки слов),прЕуспеть (e/и)
155,№9 (приставки слов),прЕумный (e/и)
156,№9 (приставки слов),подЪезд (ь/ъ)
157,№9 (приставки слов),обЪём (ь/ъ)
158,№9 (приставки слов),прЕломление (e/и)
159,№9 (приставки слов),прИехать (e/и)
160,№9 (приставки слов),неСговорчивый (з/с)
161,№9 (приставки слов),иЗвиваться (з/с)
162,№9 (приставки слов),препОдавать (а/о)
163,№9 (приставки слов),раСпорядок (з/с)
164,№9 (приставки слов),оТдать (д/т)
165,№9 (приставки слов),поДчеркнуть (д/т)
166,№9 (приставки слов),обОгреватель (а/о)
167,№9 (приставки слов),нАиспособнейший (а/о)
168,№9 (приставки слов),отЫгравшись (и/ы)
169,№9 (приставки слов),сверхИнтересный (и/ы)
170,№9 (приставки слов),прЕкрасно (e/и)
171,№9 (приставки слов),прЕграда (e/и)
172,№9 (приставки слов),беСкровный (з/с)
173,№9 (приставки слов),беЗвестный (з/с)
174,№9 (приставки слов),прЕследовать (e/и)
175,№9 (приставки слов),прИморский (e/и)
176,№9 (приставки слов),прИостановить (e/и)
177,№9 (приставки слов),ушЬёт (ь/ъ)
178,№9 (приставки слов),прЕисполненный (e/и)
179,№9 (приставки слов),обЪятый (ь/ъ)
180,№9 (приставки слов),обОгреть (а/о)
181,№9 (приставки слов),прОпитать (а/о)
182,№9 (приставки слов),раЗжигающий (з/с)
183,№9 (приставки слов),ниСходящий (з/с)
184,№9 (приставки слов),череСчур (з/с)
185,№9 (приставки слов),вЗбежать (з/с)
186,№9 (приставки слов),пОдорожник (а/о)
187,№9 (приставки слов),ненАглядный (а/о)
188,№9 (приставки слов),иЗбрать (з/с)
189,№9 (приставки слов),беЗзаботно (з/с)
190,№9 (приставки слов),прИмета (e/и)
191,№9 (приставки слов),прЕувеличивать (e/и)
192,№9 (приставки слов),выИграть (и/ы)
193,№9 (приставки слов),отЫмённое прилагательное (и/ы)
194,№9 (приставки слов),прИстройка (e/и)
195,№9 (приставки слов),прЕградить (e/и)
196,№9 (приставки слов),рАспорядиться (а/о)
197,№9 (приставки слов),сОгласие (а/о)
198,№9 (приставки слов),беСкровно (з/с)
199,№9 (приставки слов),прЕобразовать (e/и)
200,№9 (приставки слов),прИходящая няня (e/и)
201,№9 (приставки слов),безЫнициативный (и/ы)
202,№9 (приставки слов),поИскать (и/ы)
203,№9 (приставки слов),позАвчера (а/о)
204,№9 (приставки слов),недОварила (а/о)
205,№9 (приставки слов),проОбраз (а/о)
206,№9 (приставки слов),прАязык (а/о)
207,№9 (приставки слов),безЫдейный (и/ы)
208,№9 (приставки слов),поИграл (и/ы)
209,№9 (приставки слов),раЗбуженный (з/с)
210,№9 (приставки слов),беСпричинный (з/с)
211,№9 (приставки слов),прЕкратить (e/и)
212,№9 (приставки слов),прИслониться (e/и)
213,№9 (приставки слов),оТключить (д/т)
214,№9 (приставки слов),преДсказать (д/т)
215,№9 (приставки слов),прИвинтить (e/и)
216,№9 (приставки слов),прИвёз (e/и)
217,№9 (приставки слов),прЕграждать (e/и)
218,№9 (приставки слов),прИглушил (e/и)
219,№9 (приставки слов),иСчерпав (з/с)
220,№9 (приставки слов),неСжатый (з/с)
221,№9 (приставки слов),сОзвучно (а/о)
222,№9 (приставки слов),прАродина (а/о)
223,№9 (приставки слов),разЫскивавший (и/ы)
224,№9 (приставки слов),поИскать (и/ы)
225,№9 (приставки слов),прИгород (e/и)
226,№9 (приставки слов),прЕграда (e/и)
227,№9 (приставки слов),поДсолнечник (д/т)
228,№9 (приставки слов),оТбросить (д/т)
229,№9 (приставки слов),прИобрёл (e/и)
230,№9 (приставки слов),прИморье (e/и)
231,№9 (приставки слов),беСкультурье (з/с)
232,№9 (приставки слов),раЗбросать (з/с)
233,№9 (приставки слов),предЫстория (и/ы)
234,№9 (приставки слов),постИмпрессионизм (и/ы)
235,№9 (приставки слов),прЕвращаться (e/и)
236,№9 (приставки слов),прИгородный (e/и)
237,№9 (приставки слов),прЕвратности судьбы (e/и)
238,№9 (приставки слов),предЫдущий (и/ы)
239,№9 (приставки слов),поИграть (и/ы)
240,№9 (приставки слов),взИмать (и/ы)
241,№9 (приставки слов),неСгибаемый (з/с)
242,№9 (приставки слов),прЕследуя (e/и)
243,№9 (приставки слов),прЕграда (e/и)
244,№9 (приставки слов),прАбабушка (а/о)
245,№9 (приставки слов),предЫстория (и/ы)
246,№9 (приставки слов),контрИгра (и/ы)
247,№9 (приставки слов),камень прЕткновения (e/и)
248,№9 (приставки слов),прИсмотревшись (e/и)
249,№9 (приставки слов),ниСпослать (з/с)
250,№9 (приставки слов),сверхИнтересный (и/ы)
251,№9 (приставки слов),подЫграть (и/ы)
252,№9 (приставки слов),позАвчера (а/о)
253,№9 (приставки слов),воЗгордиться (з/с)
254,№9 (приставки слов),прЕдел терпения (e/и)
255,№9 (приставки слов),прЕследовать (e/и)
256,№9 (приставки слов),прЕуспевать (e/и)
257,№9 (приставки слов),межИнститутский (и/ы)
258,№9 (приставки слов),прЕклонный возраст (e/и)
259,№9 (приставки слов),поИмённо (и/ы)
260,№9 (приставки слов),адЪютант (ь/ъ)
261,№9 (приставки слов),обЪект (ь/ъ)
262,№9 (приставки слов),субЪект (ь/ъ)
263,№9 (приставки слов),прИпев (e/и)
264,№10 (суффиксы слов),завистлИвый
265,№10 (суффиксы слов),овладЕвать
266,№10 (суффиксы слов),затмЕвать
267,№10 (суффиксы слов),глянцЕвый
268,№10 (суффиксы слов),ключЕвой
269,№10 (суффиксы слов),затмЕвать
270,№10 (суффиксы слов),удостаИвая
271,№10 (суффиксы слов),оранжЕвый
272,№10 (суффиксы слов),дешёвЕнький
273,№10 (суффиксы слов),плюшЕвый
274,№10 (суффиксы слов),тюлЕвый
275,№10 (суффиксы слов),подмигИвать
276,№10 (суффиксы слов),выпрыгИвать
277,№10 (суффиксы слов),заманчИвый
278,№10 (суффиксы слов),доверчИвый
279,№10 (суффиксы слов),непоседлИвый
280,№10 (суффиксы слов),выдержИвать
281,№10 (суффиксы слов),подклеИвать
282,№10 (суффиксы слов),находчИвый
283,№10 (суффиксы слов),затмЕвать
284,№10 (суффиксы слов),милостИвый
285,№10 (суффиксы слов),питомЕц
286,№10 (суффиксы слов),проветрИвать
287,№10 (суффиксы слов),неуживчИвый
288,№10 (суффиксы слов),вынослИвый
289,№10 (суффиксы слов),марлЕвый
290,№10 (суффиксы слов),разукрашИвать
291,№10 (суффиксы слов),удваИвать
292,№10 (суффиксы слов),приветлИвый
293,№10 (суффиксы слов),доверчИвый
294,№10 (суффиксы слов),допрашИвать
295,№10 (суффиксы слов),милостИвый
296,№10 (суффиксы слов),корчЕвать
297,№10 (суффиксы слов),назойлИвый
298,№10 (суффиксы слов),устойчИвый
299,№10 (суффиксы слов),горЕвать
300,№10 (суффиксы слов),глянцЕвый
301,№10 (суффиксы слов),корнЕвой
302,№10 (суффиксы слов),ослабЕвать
303,№10 (суффиксы слов),находчИвый
304,№10 (суффиксы слов),марлЕвый
305,№10 (суффиксы слов),чувствитЕльный
306,№10 (суффиксы слов),ослабЕвать
307,№10 (суффиксы слов),ландышЕвый
308,№10 (суффиксы слов),окольцЕвать
309,№10 (суффиксы слов),алюминиЕвый
310,№10 (суффиксы слов),недогадлИвый
